Nominal Composition,Product  Form,Spec. No.,"UNS
No.",100,150,200,250,300,400,500,600,650,700,750,800,850,900,950,1000,1050,1100,1150,1200,1250,1300,1350,1400,1450,1500,1550,1600,1650,,,
Carbon steel,Plate,EN10028-3P275NH,,14500.00,14500.00,14500.00,#VALUE!,14500.00,14500.00,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,
Carbon steel,Plate,EN10028-2P235GH,,14900.00,14900.00,14900.00,14900.00,14900.00,14900.00,14900.00,14900.00,14600.00,12500.00,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,
Carbon steel,Plate,EN10216-2P235GH,,14900.00,#VALUE!,14900.00,#VALUE!,14900.00,14900.00,14900.00,14900.00,14900.00,14900.00,13000.00,10800.00,8700.00,5900.00,4000.00,2500.00,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,
Carbon steel,Plate,EN10028-3P275NH,,14900.00,14900.00,14900.00,#VALUE!,14900.00,14900.00,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,
Carbon steel,Plate,EN10216-2P235GH,,14900.00,#VALUE!,14900.00,#VALUE!,14900.00,14900.00,14900.00,14900.00,14900.00,14900.00,13000.00,10800.00,8700.00,5900.00,4000.00,2500.00,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,
Carbon steel,Plate,EN10216-2P235GH,,14900.00,#VALUE!,14900.00,#VALUE!,14900.00,14900.00,14900.00,14900.00,14900.00,14900.00,13000.00,10800.00,8700.00,5900.00,4000.00,2500.00,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,
Carbon steel,Plate,EN10028-3P275NH,,15300.00,15300.00,15300.00,#VALUE!,15300.00,15300.00,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,
Carbon steel,Plate,SA-675-55,,15700.00,15700.00,15700.00,#VALUE!,15700.00,15700.00,14900.00,14100.00,13600.00,13100.00,12700.00,10800.00,8700.00,5900.00,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,
Carbon steel,Plate,SA-675-55,,15700.00,#VALUE!,15700.00,#VALUE!,15700.00,15700.00,14900.00,14100.00,13600.00,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,
Carbon steel,Wld.  pipe,SA-134-A283C,K02401  ,15700.00,#VALUE!,15700.00,#VALUE!,15700.00,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,
Carbon steel,Plate,SA-283-C,K02401  ,15700.00,15700.00,15700.00,#VALUE!,15700.00,15700.00,15700.00,15300.00,14800.00,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,
Carbon steel,Plate,SA-285-C,K02801  ,15700.00,15700.00,15700.00,#VALUE!,15700.00,15700.00,15700.00,15300.00,14800.00,14300.00,13000.00,10800.00,8700.00,5900.00,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,
Carbon steel,Smls.  &  wld.  pipe,SA-333-1,K03008  ,15700.00,#VALUE!,15700.00,#VALUE!,15700.00,15700.00,15700.00,15300.00,14800.00,14300.00,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,
Carbon steel,Smls.  &  wld.  tube,SA-334-1,K03008  ,15700.00,#VALUE!,15700.00,#VALUE!,15700.00,15700.00,15700.00,15300.00,14800.00,14300.00,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,
Carbon steel,Wld.  tube,SA-334-1,K03008  ,13400.00,13400.00,13400.00,#VALUE!,13400.00,13400.00,13400.00,13000.00,12600.00,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,
